id,소속원문,업체명,기호,업체구분,인센티브,전달마커,소통채널,웹활용,직접접수,접수대행,유선접수전달,유선개통전달,무선개통전달,회신전달,계정수,대표아이디,연락처,상태,비고
1,0.영업정산,영업정산,0.,자점,N,,어드민,Y,N,N,N,N,N,N,36,rlftjdghks,010-2962-9936,활성,
2,1.시흥영업팀,시흥영업팀,1.,자점,N,,어드민,Y,N,N,N,N,N,N,56,ansrudals,010-2399-9367,활성,
3,2.천안영업팀,천안영업팀,2.,자점,N,,어드민,Y,N,N,N,N,N,N,23,rlaalstjr,010-5081-8161,활성,
4,3.부천영업팀(미사용),부천영업팀(미사용),3.,자점,N,,어드민,Y,N,N,N,N,N,N,6,qkrrhkddbs,,활성,
5,4.우신기술사업부,우신기술사업부,4.,자점,N,,어드민,Y,N,N,N,N,N,N,15,rlawotjd,,활성,
6,5.상권사업부,상권사업부,5.,자점,N,,어드민,Y,N,N,N,N,N,N,8,lightright,010-3345-2248,활성,
7,6.우성영업사업부,우성영업사업부,6.,자점,N,X,어드민,Y,N,N,N,N,N,N,15,rlaehddls,010-8689-8027,활성,
8,7.유통사업부,유통사업부,7.,자점,N,,어드민,Y,N,N,N,N,N,N,43,dnflthao,1,활성,
9,8.우신영업사업부,우신영업사업부,8.,자점,N,,어드민,Y,N,N,N,N,N,N,23,wjsrhksdn,010-8771-7526,활성,
10,9.모바일유통사업부,모바일유통사업부,9.,자점,N,,어드민,Y,N,N,N,N,N,N,3,dbqls3197,,활성,
11,■D&S모바일○,D&S모바일○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,eldosdptm,,활성,
12,■HKT샵○,HKT샵○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,hkttiq,,활성,
13,■SB플러스○,SB플러스○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,sbvmffjtm,,활성,
14,■SH텔레콤(이태호)○,SH텔레콤(이태호)○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dlxogh,,활성,
15,■TS통신백화점○,TS통신백화점○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,xldptmxhdtls,,활성,
16,■nan○,nan○,■,판매점,N,,카카오톡채널,N,N,Y,Y,Y,Y,Y,1,dosdpdldos,,활성,
17,■■JY정보통신●,JY정보통신,■■,판매점,N,O,카카오톡채널,Y,N,Y,Y,Y,Y,Y,1,jywjdqhxhdtls,010-2888-0062,활성,
